movie_id,title,overview,genres,cast,keywords,runtime,release_year,language,vote_average,vote_count,combined_features
670347,Bone Marrow,"Bahar has divorced her husband and is now remarried living a new life. Her son from her previous marriage, Payam, has leukemia and now she must find her ex-husband in order to save her son no matter what it takes.",['Drama'],"['Parinaz Izadyar', 'Babak Hamidian', 'Javad Ezzati']",[],108,2020,fa,6.0,3,"Bahar has divorced her husband and is now remarried living a new life. Her son from her previous marriage, Payam, has leukemia and now she must find her ex-husband in order to save her son no matter what it takes. ['Drama'] ['Parinaz Izadyar', 'Babak Hamidian', 'Javad Ezzati'] []"
695675,Fox Hunting,"Fox Hunting adapted from Wang Jianxing's popular novel of the same name, the original work won the ""Golden Shield Literature Award"". It is about the kidnapping of the daughter of the chairman of a company based in a certain country abroad, and a huge ransom. The company's security captain and veteran Xiao Jian, in order to make up for his negligence, safeguard the dignity of the Chinese people, assist the country's police officer Mo Tai through hardships, wipe out the terrorists, and rescue the touching stories of his compatriots.",['Action'],"['Eva Huang Shengyi', 'Xu Jia', 'Eric Tsang Chi-Wai']",[],105,2020,zh,9.0,1,"Fox Hunting adapted from Wang Jianxing's popular novel of the same name, the original work won the ""Golden Shield Literature Award"". It is about the kidnapping of the daughter of the chairman of a company based in a certain country abroad, and a huge ransom. The company's security captain and veteran Xiao Jian, in order to make up for his negligence, safeguard the dignity of the Chinese people, assist the country's police officer Mo Tai through hardships, wipe out the terrorists, and rescue the touching stories of his compatriots. ['Action'] ['Eva Huang Shengyi', 'Xu Jia', 'Eric Tsang Chi-Wai'] []"
750809,Counterintelligence,"Two days after the 2016 U.S. Presidential Election, a young careerist is abducted by an at-large intelligence operative carrying a mysterious briefcase, while being hotly pursued by a driven agency director and her dull-witted team.","['Action', 'Comedy', 'Thriller']","['Sharae Foxie', 'Brian Adrian Koch', 'Marcella Laasch']",[],89,2020,en,5.0,2,"Two days after the 2016 U.S. Presidential Election, a young careerist is abducted by an at-large intelligence operative carrying a mysterious briefcase, while being hotly pursued by a driven agency director and her dull-witted team. ['Action', 'Comedy', 'Thriller'] ['Sharae Foxie', 'Brian Adrian Koch', 'Marcella Laasch'] []"
618208,"This Is Not a Burial, It's a Resurrection","Amongst the mountains of Lesotho, an 80-year-old widow winds up her affairs and makes arrangements for her burial. But when her village is threatened with resettlement due to the construction of a reservoir, she finds a new will to live and ignites a spirit of resistance within her community.",['Drama'],"['Mary Twala', 'Jerry Mofokeng', 'Makhaola Ndebele']","['rural life', 'old people']",120,2020,st,7.4,42,"Amongst the mountains of Lesotho, an 80-year-old widow winds up her affairs and makes arrangements for her burial. But when her village is threatened with resettlement due to the construction of a reservoir, she finds a new will to live and ignites a spirit of resistance within her community. ['Drama'] ['Mary Twala', 'Jerry Mofokeng', 'Makhaola Ndebele'] ['rural life', 'old people']"
611395,Double World,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle.","['Action', 'Adventure', 'Fantasy']","['Henry Lau', 'Peter Ho', 'Lin Chenhan']","['martial arts', 'dragon', 'fantasy world', 'adventure games']",110,2020,zh,6.711,244,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle. ['Action', 'Adventure', 'Fantasy'] ['Henry Lau', 'Peter Ho', 'Lin Chenhan'] ['martial arts', 'dragon', 'fantasy world', 'adventure games']"
717634,Girl,"A young woman returns to her small hometown intent on killing her abusive father only to discover someone murdered him the day before. As the girl searches for answers, she uncovers a family legacy more dangerous than she'd imagined.",['Thriller'],"['Bella Thorne', 'Mickey Rourke', 'Glen Gould']","['daughter', 'small town', 'sheriff', 'father murder', 'uncle', 'dysfunctional family', 'revenge', 'axe murder', 'small town sheriff', 'father daughter relationship', 'mother daughter relationship']",90,2020,en,6.0,227,"A young woman returns to her small hometown intent on killing her abusive father only to discover someone murdered him the day before. As the girl searches for answers, she uncovers a family legacy more dangerous than she'd imagined. ['Thriller'] ['Bella Thorne', 'Mickey Rourke', 'Glen Gould'] ['daughter', 'small town', 'sheriff', 'father murder', 'uncle', 'dysfunctional family', 'revenge', 'axe murder', 'small town sheriff', 'father daughter relationship', 'mother daughter relationship']"
653744,Sergio,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Brazilian Sérgio Vieira de Mello hangs in the balance during the most treacherous mission of his career.",['Drama'],"['Wagner Moura', 'Ana de Armas', 'Garret Dillahunt']",[],118,2020,en,6.562,347,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Brazilian Sérgio Vieira de Mello hangs in the balance during the most treacherous mission of his career. ['Drama'] ['Wagner Moura', 'Ana de Armas', 'Garret Dillahunt'] []"
735220,Borderline Coffee,"""Coffee?"" Asks the mysterious blue post-it that appears in front of Miranda. ""To Bed"" replies the red. Miranda's thoughts battle it out. This is heart-felt comedic short that will take you through the harrowing journey of getting a cup of coffee when suffering from extreme anxiety and depression.",['Comedy'],"['Susanna Stahlmann', 'Elizabeth Stahlmann', 'Jeff Ayars']",[],10,2020,en,10.0,1,"""Coffee?"" Asks the mysterious blue post-it that appears in front of Miranda. ""To Bed"" replies the red. Miranda's thoughts battle it out. This is heart-felt comedic short that will take you through the harrowing journey of getting a cup of coffee when suffering from extreme anxiety and depression. ['Comedy'] ['Susanna Stahlmann', 'Elizabeth Stahlmann', 'Jeff Ayars'] []"
1293879,Fleeting Nirvana,"12 minute short film inspired by true events, you will be taken into a world of beauty, romance, and deception.","['Drama', 'Fantasy']","['Michael A. Phoenix', 'Allison Pittel']",[],12,2020,en,0.0,0,"12 minute short film inspired by true events, you will be taken into a world of beauty, romance, and deception. ['Drama', 'Fantasy'] ['Michael A. Phoenix', 'Allison Pittel'] []"
594718,Sputnik,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…","['Science Fiction', 'Drama', 'Horror']","['Oksana Akinshina', 'Fyodor Bondarchuk', 'Pyotr Fyodorov']","['spacecraft', 'alien life-form', 'alien', 'murder', 'doctor', 'cosmonaut', 'spacecraft accident', 'alien creature', 'symbiotic', 'based on short film']",113,2020,ru,6.542,941,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him… ['Science Fiction', 'Drama', 'Horror'] ['Oksana Akinshina', 'Fyodor Bondarchuk', 'Pyotr Fyodorov'] ['spacecraft', 'alien life-form', 'alien', 'murder', 'doctor', 'cosmonaut', 'spacecraft accident', 'alien creature', 'symbiotic', 'based on short film']"
