movie_id,title,overview,genres,cast,keywords,runtime,release_year,language,vote_average,vote_count
360920,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,"['Family', 'Comedy', 'Animation']","['Benedict Cumberbatch', 'Rashida Jones', 'Kenan Thompson']","['holiday', 'surrealism', 'remake', ""based on children's book"", 'christmas', 'illumination', 'dr. seuss']",85,2018,en,6.87,4327
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","['Adventure', 'Action', 'Science Fiction']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth']","['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'superhero team', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']",149,2018,en,8.235,31250
502682,Book Club,Four lifelong friends decide that their lives could change by becoming nasty and reading Fifty Shades of Grey in their monthly book club to get inspiration on how to handle sexual pleasure at an elderly age.,"['Romance', 'Comedy', 'Drama']","['Diane Keaton', 'Jane Fonda', 'Candice Bergen']","['new love', 'judge', 'widow', 'female friendship', 'book club', 'chef', 'get together', 'former lovers', 'older women']",104,2018,en,6.229,818
324857,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","['Animation', 'Action', 'Adventure', 'Science Fiction']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']","['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']",117,2018,en,8.395,16687
400155,Hotel Transylvania 3: Summer Vacation,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.","['Animation', 'Comedy', 'Family', 'Fantasy']","['Adam Sandler', 'Andy Samberg', 'Selena Gomez']","['monster', 'vampire', 'vacation', 'cruise ship', 'summer vacation', 'dracula']",97,2018,en,6.9,4616
500919,211,"Inspired by one of the longest and bloodiest real-life events in police history, Officer Mike Chandler and a young civilian passenger find themselves under-prepared and outgunned when fate puts them squarely in the crosshairs of a daring bank heist in progress by a fearless team of highly-trained and heavily-armed men.","['Crime', 'Action', 'Thriller']","['Nicolas Cage', 'Sophie Skelton', 'Michael Rainey Jr.']","['police', 'pregnancy', 'afghanistan', 'based on true story', 'interpol', 'murder', 'bank robbery', 'bank heist', 'father daughter relationship', 'ride along']",86,2018,en,5.312,481
530254,The Witch: Part 1. The Subversion,"Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.","['Action', 'Mystery', 'Science Fiction']","['Kim Da-mi', 'Cho Min-soo', 'Park Hee-soon']","['witch', 'amnesia', 'supernatural', 'psychological thriller', 'audition', 'hidden identity', 'supernatural power', 'dark', 'extreme violence']",126,2018,ko,7.882,689
346910,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","['Science Fiction', 'Action', 'Thriller']","['Boyd Holbrook', 'Trevante Rhodes', 'Sterling K. Brown']","['predator', 'sequel', 'alien', 'creature', 'alien invasion', 'military', 'amused']",107,2018,en,5.633,4975
333339,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","['Adventure', 'Action', 'Science Fiction']","['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']","['future', 'based on novel or book', 'video game', 'virtual reality', 'dystopia', 'nostalgia', 'love', 'film in film', 'evil corporation', 'quest', '1980s', '2040s', 'based on young adult novel', 'columbus, ohio', 'inspirational', 'vrmmo', 'dystopian sci-fi']",140,2018,en,7.585,16442
337167,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","['Drama', 'Romance']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']","['based on novel or book', 'eroticism', 'sequel', 'bdsm']",105,2018,en,6.68,8253
490132,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.","['Drama', 'Comedy', 'History']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']","['friendship', 'southern usa', 'road trip', 'racism', 'pianist', 'driver', 'lgbt', 'road movie', 'music tour', '1960s', 'roadtrip', 'gay theme', 'feel good']",130,2018,en,8.225,12444
